# id	canonical	group	cie10_pipe	aliases_pipe
parotiditis_infecciosa	Parotiditis infecciosa	prevenibles_vacunacion		Parotiditis infecciosa
tos_ferina	Tos ferina	prevenibles_vacunacion		Tos ferina
varicela	Varicela	prevenibles_vacunacion		Varicela
absceso_hepatico_amebiano	Absceso hepático amebiano	digestivas		Absceso hepático amebiano
amebiasis_intestinal	Amebiasis intestinal	digestivas		Amebiasis intestinal
ascariasis	Ascariasis	digestivas		Ascariasis
enterobiasis	Enterobiasis	digestivas		Enterobiasis
fiebre_tifoidea	Fiebre tifoidea	digestivas		Fiebre tifoidea
giardiasis	Giardiasis	digestivas		Giardiasis
infecciones_intestinales_mal_definidas	Infecciones intestinales por otros organismos y las mal definidas	digestivas		Infecciones intestinales por otros organismos y las mal definidas|Infecciones intestinales
intoxicacion_alimentaria_bacteriana	Intoxicación alimentaria bacteriana	digestivas	A05	Intoxicación alimentaria bacteriana|Intoxicacion alimentaria bacteriana|por Intoxicación alimentaria mal bacteriana|Intoxicación alimentaria mal bacteriana
otras_helmintiasis	Otras helmintiasis	digestivas		Otras helmintiasis
otras_infecciones_intestinales_protozoarios	Otras infecciones intestinales debidas a protozoarios	digestivas		Otras infecciones intestinales debidas a protozoarios
otras_salmonelosis	Otras Salmonelosis	digestivas		Otras Salmonelosis
shigelosis	Shigelosis	digestivas		Shigelosis
faringitis_amigdalitis_estreptococicas	Faringitis y amigdalitis estreptocócicas	respiratorias		Faringitis y amigdalitis estreptocócicas|Faringitis y amigdalitis estreptococicas
otitis_media_aguda	Otitis media aguda	respiratorias		Otitis media aguda
tuberculosis_respiratoria	Tuberculosis respiratoria	respiratorias		Tuberculosis respiratoria
tumor_maligno_cuello_utero	Tumor maligno del cuello del útero	no_transmisibles	C53	Tumor maligno del cuello del utero|Tumor maligno del cuello del útero|Displasias y neoplasias|Neoplasias
candidiasis_urogenital	Candidiasis urogenital	transmision_sexual		Candidiasis urogenital
chancro_blando	Chancro blando	transmision_sexual		Chancro blando
herpes_genital	Herpes genital	transmision_sexual		Herpes genital
infeccion_asintomatica_vih	Infección asintomática por VIH	transmision_sexual		Infección asintomática por VIH|Infeccion asintomatica por VIH
infeccion_gonococica_genitourinaria	Infección gonocócica del tracto genitourinario	transmision_sexual		Infección gonocócica del tracto genitourinario|Infeccion gonococica
